date,sku,sales,price,is_holiday
2024-01-07,商品A,117,1200,1
2024-01-14,商品A,111,1200,1
2024-01-21,商品A,114,1200,0
2024-01-28,商品A,119,1200,0
2024-02-04,商品A,100,1200,0
2024-02-11,商品A,108,1200,0
2024-02-18,商品A,123,1200,0
2024-02-25,商品A,123,1200,0
2024-03-03,商品A,128,1200,0
2024-03-10,商品A,124,1200,0
2024-03-17,商品A,141,1200,0
2024-03-24,商品A,142,1200,0
2024-03-31,商品A,138,1200,0
2024-04-07,商品A,149,1200,0
2024-04-14,商品A,145,1200,0
2024-04-21,商品A,135,1200,0
2024-04-28,商品A,161,1200,1
2024-05-05,商品A,151,1200,1
2024-05-12,商品A,165,1200,1
2024-05-19,商品A,143,1200,0
2024-05-26,商品A,142,1200,0
2024-06-02,商品A,137,1200,0
2024-06-09,商品A,152,1200,0
2024-06-16,商品A,140,1200,0
2024-06-23,商品A,137,1200,0
2024-06-30,商品A,137,1200,0
2024-07-07,商品A,143,1200,0
2024-07-14,商品A,141,1200,0
2024-07-21,商品A,141,1200,0
2024-07-28,商品A,140,1200,0
2024-08-04,商品A,153,1200,0
2024-08-11,商品A,147,1200,1
2024-08-18,商品A,146,1200,1
2024-08-25,商品A,143,1200,1
2024-09-01,商品A,139,1200,0
2024-09-08,商品A,144,1200,0
2024-09-15,商品A,134,1200,0
2024-09-22,商品A,129,1200,0
2024-09-29,商品A,131,1200,0
2024-10-06,商品A,144,1200,0
2024-10-13,商品A,146,1200,0
2024-10-20,商品A,146,1200,0
2024-10-27,商品A,139,1200,0
2024-11-03,商品A,149,1200,0
2024-11-10,商品A,150,1200,0
2024-11-17,商品A,154,1200,0
2024-11-24,商品A,163,1200,0
2024-12-01,商品A,161,1200,0
2024-12-08,商品A,168,1200,0
2024-12-15,商品A,167,1200,0
2024-12-22,商品A,188,1200,1
2024-12-29,商品A,194,1200,1
2024-01-07,商品B,226,800,1
2024-01-14,商品B,246,800,1
2024-01-21,商品B,230,800,0
2024-01-28,商品B,228,800,0
2024-02-04,商品B,234,800,0
2024-02-11,商品B,261,800,0
2024-02-18,商品B,222,800,0
2024-02-25,商品B,250,800,0
2024-03-03,商品B,205,800,0
2024-03-10,商品B,224,800,0
2024-03-17,商品B,229,800,0
2024-03-24,商品B,232,800,0
2024-03-31,商品B,229,800,0
2024-04-07,商品B,226,800,0
2024-04-14,商品B,203,800,0
2024-04-21,商品B,196,800,0
2024-04-28,商品B,227,800,1
2024-05-05,商品B,205,800,1
2024-05-12,商品B,182,800,1
2024-05-19,商品B,164,800,0
2024-05-26,商品B,163,800,0
2024-06-02,商品B,180,800,0
2024-06-09,商品B,170,800,0
2024-06-16,商品B,174,800,0
2024-06-23,商品B,152,800,0
2024-06-30,商品B,158,800,0
2024-07-07,商品B,162,800,0
2024-07-14,商品B,145,800,0
2024-07-21,商品B,155,800,0
2024-07-28,商品B,135,800,0
2024-08-04,商品B,139,800,0
2024-08-11,商品B,154,800,1
2024-08-18,商品B,141,800,1
2024-08-25,商品B,168,800,1
2024-09-01,商品B,139,800,0
2024-09-08,商品B,149,800,0
2024-09-15,商品B,159,800,0
2024-09-22,商品B,161,800,0
2024-09-29,商品B,168,800,0
2024-10-06,商品B,159,800,0
2024-10-13,商品B,158,800,0
2024-10-20,商品B,167,800,0
2024-10-27,商品B,146,800,0
2024-11-03,商品B,154,800,0
2024-11-10,商品B,160,800,0
2024-11-17,商品B,170,800,0
2024-11-24,商品B,196,800,0
2024-12-01,商品B,179,800,0
2024-12-08,商品B,191,800,0
2024-12-15,商品B,222,800,0
2024-12-22,商品B,213,800,1
2024-12-29,商品B,233,800,1
2024-01-07,商品C,71,3500,1
2024-01-14,商品C,76,3500,1
2024-01-21,商品C,60,3500,0
2024-01-28,商品C,64,3500,0
2024-02-04,商品C,70,3500,0
2024-02-11,商品C,61,3500,0
2024-02-18,商品C,71,3500,0
2024-02-25,商品C,72,3500,0
2024-03-03,商品C,69,3500,0
2024-03-10,商品C,67,3500,0
2024-03-17,商品C,74,3500,0
2024-03-24,商品C,72,3500,0
2024-03-31,商品C,76,3500,0
2024-04-07,商品C,76,3500,0
2024-04-14,商品C,83,3500,0
2024-04-21,商品C,77,3500,0
2024-04-28,商品C,89,3500,1
2024-05-05,商品C,95,3500,1
2024-05-12,商品C,96,3500,1
2024-05-19,商品C,87,3500,0
2024-05-26,商品C,86,3500,0
2024-06-02,商品C,85,3500,0
2024-06-09,商品C,91,3500,0
